,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
207,aliyyonggs,0.0007680491551459293,0.0003759103433176773,0.10387353642546601,0.00012328437451505784
280,sorrelsoup__,0.0007680491551459293,0.0003759103433176773,0.10387353642546601,0.00012328437451505784
154,ttlindonesia,0.0007680491551459293,0.0003759103433176773,0.10281290413653668,0.0001772148712250264
252,moothyea,0.0007680491551459293,0.0003759103433176773,0.10165770296646323,0.00012562496540648627
272,historiye,0.0007680491551459293,0.0003759103433176773,0.09181937842580537,2.9479543423177463e-05
230,toralanguru,0.0007680491551459293,0.0003759103433176773,0.08681406673856915,2.499718182482418e-05
122,andrigunardiii,0.0007680491551459293,0.0003759103433176773,0.07893285547060952,1.5732576436542415e-06
224,pecintalatte__,0.0007680491551459293,0.0003759103433176773,0.059825582550747554,4.230063908028136e-09
142,junggjaejhyun,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
159,chelsstudy,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
210,homerunballcola,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
213,jennstudy,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
242,lmansa3,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
248,studyayle,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
249,therebahan,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
265,alonevrydy,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
277,yellingoutt,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
293,yukbisasemangat,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
295,yyours_s,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
304,maillov_,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
320,letskol,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
324,hilycious,0.0007680491551459293,0.0003759103433176772,0.14514762936922826,0.035947774485795767
158,s_rhizaa,0.0007680491551459293,0.0003759103433176772,0.11205886805188489,0.0018612179502394898
176,roeversinceny,0.0007680491551459293,0.0003759103433176772,0.11205886805188489,0.0018612179502394898
146,ciaooo000,0.0007680491551459293,0.0003759103433176772,0.09146959031751659,9.743556654909382e-05
331,hujkwqe83dja,0.0007680491551459293,0.000350121615375639,0.14535039672108283,0.0360872442924627
267,browniefluffy,0.0007680491551459293,0.00030898155266407136,0.13126155465034708,0.0037744474646506277
234,clorophhyl,0.0007680491551459293,0.00018780764012692435,0.1281889022416942,0.005654603783364836
328,notge0n,0.0007680491551459293,0.00018780764012692435,0.1281889022416942,0.005654603783364836
258,blackmantaaa,0.0007680491551459293,0.00018780764012692433,0.1300041553346628,0.0034319158268487932
285,sstrnice,0.0007680491551459293,0.00018780764012692433,0.1300041553346628,0.0034319158268487932
282,acciostoreofc,0.0007680491551459293,0.000165598875590537,0.12366877058578658,0.0004950653251897716
156,nelvaaze,0.0007680491551459293,0.00016213702515225143,0.10973456739621212,0.0001474261897108683
141,vitamiiinc_,0.0007680491551459293,0.00015472569158576756,0.14528274468630456,0.03607020250168673
166,chewmist,0.0007680491551459293,0.0001410237521176512,0.15200388456709293,0.03623898168967579
290,gabysatidur,0.0007680491551459293,0.00013623117642156183,0.13027544948185532,0.003631915309849186
311,plstmnrljgnnemu,0.0007680491551459293,0.0001349046679935486,0.12834702999939365,0.0057371474981018945
118,mbisambis,0.0007680491551459293,0.00013463483416912872,0.14108021557447475,0.0046909116532861785
266,asyaralanyar,0.0007680491551459293,0.0001251225618728038,0.11118075759876238,0.0003412619612261567
275,imgoingsollolo,0.0007680491551459293,6.558108964110458e-05,0.13857490652986698,0.005167977334696123
305,sonofthesunnnn,0.0007680491551459293,6.181571187209842e-05,0.14377705064879104,0.0052982635970798015
