Source,Target,Weight
oikawakiw,takze,1.0
ohmyicedtea,collegemenfess,1.0
natiapermanaa,sbmptnfess,1.0
odlaassir,menfesssyg,1.0
ocayaaaa,englishfess_,1.0
o0crash9,hynskch,1.0
nyobaproduktip,marktermeloo_n,1.0
mccnphase,kowhsi,1.0
nyeondy,ailofmalyfe,1.0
nuvantaraa,katdaal,1.0
nurjannahhanum,sabdaps,1.0
nurhidazenius,subeeobin,1.0
nurhidazenius,afas64002521,1.0
mcflurrries,ambisfs,1.0
ntashiye,sbmptnfess,1.0
ontinyawagyu,sasambisptn,1.0
mbisambis,zenius_oliv,1.0
onyourmidd,ketekalien,1.0
mbibibis,hannadd__,1.0
mbakjenniekim,rekonict,1.0
panggilajazul,bothroses,1.0
midheavenn_,aruufilpe,1.0
pallzahf,sbmptnfess,1.0
mbakjenniekim,waitefah,1.0
padukachanyeol,schfess,1.0
pachilleui,sbmptnfess,1.0
pacarnyarya,marktermeloo_n,1.0
pacarhaliday,sbmptnfess,1.0
oxnjxbc,alestudiey,1.0
mbananamal,akugemeus,1.0
owlinlovewithu,vhezzzz,1.0
ourtattoos,yoonjaehyukz,1.0
otsukarenasama,_alphaif,1.0
oseanight,sbmptnfess,1.0
orionbeltgirl,rachelamnd14,1.0
orimkhoirul23,sbmptnfess,1.0
orgsm95,ceritadarimalam,1.0
orgrendahan,divaalfiah,1.0
oreocuros,keeylaaaaaaaaaa,1.0
oreocuros,kamusiapayak,1.0
mbawangg,schfess,1.0
orchxid,subschfess,1.0
orchidzyone,chaeraelk,1.0
oocomfortzone,cathions,1.0
nrossiee,studywithgee,1.0
nrlsaes,txtgetsunova,1.0
sadneusss,sbmptnfess,1.0
nisamabaundip,kimjonunh,1.0
nfifah23,fizzyflanks,1.0
medsstud,gapyearfess,1.0
nextarrcokelat,sbmptnfess,1.0
newhopekila,schfess,1.0
newhopekila,sbmptnfess,1.0
meim99_,markcitygurl,1.0
mejikuhibinniu,xxshineyz,1.0
nevermindeuz,schfess,1.0
mekdiiioreo,schfess,1.0
nevermindeuz,sbmptnfess,1.0
neverasktoborn,subschfess,1.0
neupuz,schfess,1.0
netaijal,nyonkrg,1.0
nestleysya,schfess,1.0
nelvaaze,polkacoma,1.0
nelvaaze,memeykarta,1.0
nelladrs,bertanyarl,1.0
nelheeyoung,novpdd,1.0
ndnrilha,sbmptnfess,1.0
ndhrbt1,ttlindonesia,1.0
ndatawlah,schfess,1.0
melancholycurse,ssrmao,1.0
nawasenaa,subschfess,1.0
meliyetik,clobe,1.0
naufalaal_,schfess,1.0
ningznin,qheejin,1.0
njunnnana,lucynaomii,1.0
mcflurrybubble,sbmptnfess,1.0
medeeiia,subschfess,1.0
nrlsaes,haru_010410,1.0
nowsantuy,vazlae,1.0
nowsantuy,sbmptnfess,1.0
me0wsh,sbmptnfess,1.0
noviceartistt,_clairdxlunx,1.0
nouvieiies,maublajar,1.0
notyourexxx_,hijustcallwawa,1.0
notiogic,subschfess,1.0
meanwhild,panggilajazul,1.0
notconnectioonn,schfess,1.0
mebeingmeitsme,vaniaaaambis,1.0
nore2dx,rooooollllll,1.0
noodlezzzip,snowgumzzz,1.0
noodlezzzip,nakaivvy,1.0
noodlezzzip,canstuy,1.0
nonakimry,flyfromhell,1.0
nolivepeople,subschfess,1.0
noecharm,schfess,1.0
nochtrnl,munfess,1.0
nobeeta_,jolovesji,1.0
nobaramyeon,ssefnum,1.0
nnjaemi,imnayeonmygirl,1.0
nnismal,wmhendra_,1.0
nnajaeminiest,shijakbuteodaa,1.0
nkcthi___,maujadicrushmu,1.0
sadboy1410,thisbluemarie,1.0
09yjm,zenambis,1.0
sahrra00,schfess,1.0
wierdify,sbmptnfess,1.0
whociamesia,sbmptnfess,1.0
who_realizes,schfess,1.0
whish3s,schfess,1.0
wheeinnnnn,straykdzchan,1.0
wedeliastudy,ciaooo000,1.0
wecall11nine,taekyootie,1.0
waytogoals,winneopen,1.0
waytogoals,be_owenz,1.0
watanabehera,subschfess,1.0
wasserdruck,mmmaaauuulll_,1.0
wantitsobad,schfess,1.0
wannabesnowman,sbmptnfess,1.0
wannabegzoox,violetblueish,1.0
wangjjake,lunerpw,1.0
