Source,Target,Jumlah Interaksi
purplejihoon,7chilleader,1.0
purpleinkid,treasuremembers,1.0
purpleenaa,woolliyy,1.0
purpleenaa,chyunsukkk,1.0
puri_nim,jihanfavs,1.0
purekyuties,2oo3124,1.0
putrioec,zimbalalaghata,1.0
puttrrrri,brandambissador,1.0
pandaorenji,crescenthoon,1.0
putwizz,studyyarea,1.0
randd1_,guedahyun,1.0
rakyatuwitter,subschfess,1.0
rajwnn,jpfbase,1.0
rainytics,sbmptnfess,1.0
rainychizky,takatashilla,1.0
rainineve,sbmptnfess,1.0
rainensky_,sbmptnfess,1.0
raindropsx00,paniijjekhyuk,1.0
rainbowyoshiday,habiby_haniatul,1.0
rainbowariess,sbmptnfess,1.0
raibquilaa,txtdarisch,1.0
rahma_kim9,imanusman,1.0
rahareuu,subschfess,1.0
rafrifrifraf,nahoonieromyy,1.0
rafisetiawanze1,sbmptnfess,1.0
randomshityeahh,ambisfs,1.0
ranisyafrudin,oigotit,1.0
rapinzeul,sbmptnfess,1.0
ratu06487886,schfess,1.0
rayaiduladha,schfess,1.0
rayabokor,ambisfs,1.0
rawrrchio,schfess,1.0
raverzclaw,ambisfs,1.0
raufanpurdini,sabdaps,1.0
ratutorojoyo,schfess,1.0
ratu06487886,lalalareveuse,1.0
rapinzeul,schfess,1.0
ratrisanti3,dyoovr,1.0
rasyaalvaro146,subschfess,1.0
rarasahii,schfess,1.0
rarariira,subschfess,1.0
rararararadira,sabdaps,1.0
rapthaliia,ambisfs,1.0
rafiaufa7,fohlryl,1.0
raeshink,wtnabearthur,1.0
raenjunluvena,mgajhnsz,1.0
pyovn,schfess,1.0
qnyaabanana,hsahikunn,1.0
qianlalisa,schfess,1.0
qheejin,miyeeoon,1.0
qavten,bertanyarl,1.0
qalnakprivacy,janeryjung,1.0
pyowoopy,rut0w0rld_,1.0
pyochiz,hmdjky,1.0
qquenzi,sbmptnfess,1.0
pyo_827,jaehyuklight,1.0
pyfypp,ambisfs,1.0
pwumpiie,studstudiee,1.0
pwtysntc,subschfess,1.0
pweasev,schfess,1.0
puuffffffffffff,arucannn,1.0
qonitaarda,subschfess,1.0
qquenzi,srzlsha,1.0
raeambisbesok,hiromi_daiji,1.0
quip_zenshare,suyutifarid,1.0
raeambisbesok,faniix1,1.0
rabbitjnk,harukyutipie,1.0
raamaryu,subschfess,1.0
raaazaaac,betaquari,1.0
quip_zenshare,yongiepurple,1.0
quip_zenshare,vkfluffy,1.0
querencjia,ambisfs,1.0
qraece,sbmptnfess,1.0
querencisal,convomf,1.0
querencieaj,subschfess,1.0
querencieaj,chewmist,1.0
quereencialism_,agnesdella7,1.0
queniyye,treasuremembers,1.0
quayntrella,sbmptnfess,1.0
pritidawgs,kim_bangjeon,1.0
princessjisoo03,treasuremembers,1.0
princes54798837,subschfess,1.0
princes54798837,schfess,1.0
pengenapaaja,cittairlanie,1.0
pengenambiis,press1forambis,1.0
pemudayouth,sbmptnfess,1.0
pejuanggkuliah,schfess,1.0
pejuangalmet,atypicali,1.0
pejuangahjussi,sweetpeagf,1.0
pejuangahjussi,sbmptnfess,1.0
pejuangahjussi,bbluetaehyg,1.0
pecintaabon,worksfess,1.0
pecintaabon,karirfess,1.0
peciintambiss,ambisfs,1.0
pechely_,aiurjhnie,1.0
pebiyjinnie,sbmptnfess,1.0
peachyrahh,schfess,1.0
peachypie2806,kimoocha,1.0
penghunipluto_,gubuknetijen,1.0
penghunipluto_,txtdarigajelas,1.0
penghunipluto_,txtdariige,1.0
pffyluf,sbmptnfess,1.0
pfmmipy,abcdheyaa,1.0
pfmbahagia,schfess,1.0
pffyluf,utbkfess,1.0
pffyluf,subschfess,1.0
pffyluf,studysyx,1.0
pffyluf,schfess,1.0
pffyluf,__adinnyoo,1.0
penguinpanda7,koreaboo,1.0
petzoldzzz,schfess,1.0
pesawaterbangg,wh0iscaca,1.0
permisipaket_,idextratime,1.0
perempuanmuuuu,utbkfess,1.0
penguinpanda7,treasurewwide,1.0
penguinpanda7,mashidaraling,1.0
peachymochaa,schfess,1.0
peachyeuuu,dinasigoreng,1.0
peachtachioo,subschfess,1.0
paniijjekhyuk,imaarl_,1.0
parkjeongwoo301,paniijjekhyuk,1.0
parkj0ngu,trjeha,1.0
parkhyeonie,paniijjekhyuk,1.0
paradise3v,subschfess,1.0
paradise3v,ambisfs,1.0
panpandanyet,ambisfs,1.0
paniijjekhyuk,dobbycious,1.0
parkleerha2,tetehcarat,1.0
paniijjekhyuk,ci1_ysz,1.0
panggilnady,flowrblues,1.0
panggilgua1,mariambisptkn,1.0
panggilajazul,sabdaps,1.0
panggilajazul,bothroses,1.0
panggilajauwik,rudihar1027,1.0
parkjwoooo,birulangitceria,1.0
parksozee,heyyuu_20,1.0
peachqrose,studywystar,1.0
pbooyoungg,kuyangcangtip,1.0
peacebeuponn,schfess,1.0
